Monday
Leave_Bryn_Mawr Arrive_Haverford Leave_Haverford Arrive_Bryn_Mawr
7:25AM 7:35AM 7:40AM 7:50AM
8:10AM 8:20AM 8:40AM 8:50AM
  8:50AM 9:00AM
9:10AM 9:20AM 9:40AM 9:50AM
9:20AM 9:30AM 9:50AM 10:00AM
10:00AM 10:10AM 10:15AM 10:25AM
10:10AM 10:20AM 10:25AM 10:35AM
10:30AM 10:40AM 10:40AM 10:50AM
10:40AM 10:50AM 10:50AM 11:00AM
11:00AM 11:10AM 11:15AM 11:25AM
11:10AM 11:20AM 11:25AM 11:35AM
11:30AM 11:40AM 11:45AM 11:55AM
11:40AM 11:50AM 11:55AM 12:05PM
12:00PM 12:10PM 12:15PM 12:25PM
12:10PM 12:20PM 12:25PM 12:35PM
12:30PM 12:40PM 12:45PM 12:55PM
12:40PM 12:50PM 12:55PM 1:05PM
1:00PM 1:10PM 1:15PM 1:25PM
1:10PM 1:20PM 1:25PM 1:35PM
1:30PM 1:40PM 1:45PM 1:55PM
1:40PM 1:50PM 1:55PM 2:05PM
2:00PM 2:10PM 2:15PM 2:25PM
2:10PM 2:20PM 2:25PM 2:35PM
2:35PM 2:45PM 2:50PM 3:00PM
3:10PM 3:20PM 3:30PM 3:40PM
3:20PM 3:30PM 3:40PM 3:30PM
3:45PM 3:55PM 4:00PM 4:10PM
3:55PM 4:05PM 4:10PM 4:20PM
4:15PM 4:25PM 4:45PM 4:55PM
5:10PM 5:20PM 5:50PM 6:00PM
6:10PM 6:20PM 6:25PM 6:35PM
6:40PM 6:50PM 6:55PM 7:05PM
7:10PM 7:20PM 7:40PM 7:50PM
8:10PM 8:20PM 8:55PM 9:05PM
9:10PM 9:20PM 10:05PM 10:15PM
10:20PM 10:30PM 10:40PM 10:50PM
11:10PM 11:20PM 11:40PM 11:50PM
12:10AM 12:20AM 12:40AM 12:50AM

Tuesday
Leave_Bryn_Mawr Arrive_Haverford Leave_Haverford Arrive_Bryn_Mawr
7:10AM 7:20AM 7:40AM 8:00AM
8:10AM 8:20AM 8:30AM 8:40AM
  8:40AM 8:50AM
8:55AM 9:05AM 9:20AM 9:30AM
9:05AM 9:15AM 9:30AM 9:40AM
9:45AM 9:55AM 10:00AM 10:10AM
9:55AM 10:05AM 10:10AM 10:20AM
10:25AM 10:35AM 10:45AM 10:55AM
10:35AM 10:45AM 10:55AM 11:05AM
11:10AM 11:20AM 11:30AM 11:40AM
11:20AM 11:30AM 11:40AM 11:50AM
11:55AM 12:05PM 12:15PM 12:25PM
12:05PM 12:15PM 12:25PM 12:35PM
12:45PM 12:55PM 1:00PM 1:10PM
12:50PM 1:00PM 1:10PM 1:20PM
1:25PM 1:35PM 1:45PM 1:55PM
1:35PM 1:45PM 1:55PM 2:05PM
2:10PM 2:20PM 2:40PM 2:50PM
2:25PM 2:35PM 2:50PM 3:00PM
3:10PM 3:20PM 3:30PM 3:40PM
3:20PM 3:30PM 3:40PM 3:50PM
3:45PM 3:55PM 4:00PM 4:10PM
3:55PM 4:05PM 4:10PM 4:20PM
4:15PM 4:25PM 4:45PM 4:55PM
5:10PM 5:20PM 5:50PM 6:00PM
6:10PM 6:20PM 6:25PM 6:35PM
6:40PM 6:50PM 6:55PM 7:05PM
7:10PM 7:20PM 7:40PM 7:50PM
8:10PM 8:20PM 8:55PM 9:05PM
9:10PM 9:20PM 10:05PM 10:15PM
10:20PM 10:30PM 10:40PM 10:50PM
11:10PM 11:20PM 11:40PM 11:50PM
12:10AM 12:20AM 12:40AM 12:50AM

Wednesday
Leave_Bryn_Mawr Arrive_Haverford Leave_Haverford Arrive_Bryn_Mawr
7:25AM 7:35AM 7:40AM 7:50AM
8:10AM 8:20AM 8:40AM 8:50AM
  8:50AM 9:00AM
9:10AM 9:20AM 9:40AM 9:50AM
9:20AM 9:30AM 9:50AM 10:00AM
10:00AM 10:10AM 10:15AM 10:25AM
10:10AM 10:20AM 10:25AM 10:35AM
10:30AM 10:40AM 10:40AM 10:50AM
10:40AM 10:50AM 10:50AM 11:00AM
11:00AM 11:10AM 11:15AM 11:25AM
11:10AM 11:20AM 11:25AM 11:35AM
11:30AM 11:40AM 11:45AM 11:55AM
11:40AM 11:50AM 11:55AM 12:05PM
12:00PM 12:10PM 12:15PM 12:25PM
12:10PM 12:20PM 12:25PM 12:35PM
12:30PM 12:40PM 12:45PM 12:55PM
12:40PM 12:50PM 12:55PM 1:05PM
1:00PM 1:10PM 1:15PM 1:25PM
1:10PM 1:20PM 1:25PM 1:35PM
1:30PM 1:40PM 1:45PM 1:55PM
1:40PM 1:50PM 1:55PM 2:05PM
2:00PM 2:10PM 2:15PM 2:25PM
2:10PM 2:20PM 2:25PM 2:35PM
2:35PM 2:45PM 2:50PM 3:00PM
3:10PM 3:20PM 3:30PM 3:40PM
3:20PM 3:30PM 3:40PM 3:50PM
3:45PM 3:55PM 4:00PM 4:10PM
3:55PM 4:05PM 4:10PM 4:20PM
4:15PM 4:25PM 4:45PM 4:55PM
5:10PM 5:20PM 5:50PM 6:00PM
6:00PM 6:10PM 6:15PM 6:25PM
6:30PM 6:40PM 6:55PM 7:05PM
7:10PM 7:20PM 7:40PM 7:50PM
8:10PM 8:20PM 8:55PM 9:05PM
